timestamp,raw,peso
2025-10-21 10:17:26,62632.5,300.09
2025-10-21 10:17:28,62708.5,300.33
2025-10-21 10:17:30,62724.5,300.34
2025-10-21 10:17:31,62717.5,300.4
2025-10-21 10:17:32,62730.0,300.28
2025-10-21 10:17:33,62734.5,300.32
2025-10-21 10:17:34,62681.5,300.25
2025-10-21 10:17:35,62683.5,300.25
2025-10-21 10:17:37,62709.0,300.15
2025-10-21 10:17:38,62677.0,300.37
2025-10-21 10:17:39,62679.0,300.38
2025-10-21 10:17:40,62729.5,300.29
2025-10-21 10:17:41,62699.5,300.32
2025-10-21 10:17:42,62715.0,300.4
2025-10-21 10:17:44,62699.0,300.26
2025-10-21 10:17:45,62733.5,300.41
2025-10-21 10:17:46,62679.5,300.28
2025-10-21 10:17:47,62652.0,300.36
2025-10-21 10:17:48,62713.5,300.39
2025-10-21 10:17:49,62683.5,300.43
