timestamp,raw,peso
2025-10-21 10:25:57,20873.0,100.02
2025-10-21 10:25:59,20902.0,100.14
2025-10-21 10:26:00,20898.5,100.07
2025-10-21 10:26:01,20889.0,100.19
2025-10-21 10:26:03,20930.5,100.16
2025-10-21 10:26:04,20847.5,100.08
2025-10-21 10:26:05,20886.5,100.1
2025-10-21 10:26:06,20921.5,100.12
2025-10-21 10:26:07,20914.0,100.28
2025-10-21 10:26:08,20884.0,100.17
2025-10-21 10:26:10,20958.5,100.18
2025-10-21 10:26:11,20917.5,100.14
2025-10-21 10:26:12,20931.0,100.14
2025-10-21 10:26:13,20904.0,100.15
2025-10-21 10:26:14,20910.5,100.06
2025-10-21 10:26:15,20871.5,100.18
2025-10-21 10:26:17,20910.5,100.2
2025-10-21 10:26:18,20897.0,100.09
2025-10-21 10:26:19,20905.0,100.13
2025-10-21 10:26:20,20927.5,100.12
