timestamp,raw,peso
2025-10-21 13:55:21,83819.0,401.17
2025-10-21 13:55:23,83804.0,401.18
2025-10-21 13:55:24,83804.0,401.25
2025-10-21 13:55:25,83832.5,401.12
2025-10-21 13:55:27,83741.0,401.13
2025-10-21 13:55:28,83795.0,401.29
2025-10-21 13:55:29,83782.0,401.25
2025-10-21 13:55:30,83805.0,401.18
2025-10-21 13:55:31,83783.5,401.14
2025-10-21 13:55:32,83786.5,401.15
2025-10-21 13:55:33,83819.0,401.2
2025-10-21 13:55:35,83787.5,401.24
2025-10-21 13:55:36,83813.0,401.23
2025-10-21 13:55:37,83791.5,401.27
2025-10-21 13:55:38,83844.0,401.17
2025-10-21 13:55:39,83833.5,401.18
2025-10-21 13:55:40,83788.0,401.14
2025-10-21 13:55:42,83753.0,401.19
2025-10-21 13:55:43,83857.0,401.33
2025-10-21 13:55:44,83755.5,401.27
