timestamp,raw,peso
2025-10-22 13:38:47,167023.5,799.83
2025-10-22 13:38:49,167119.5,799.87
2025-10-22 13:38:50,167065.0,800.06
2025-10-22 13:38:51,167087.5,799.92
2025-10-22 13:38:53,167071.0,800.04
2025-10-22 13:38:54,167087.0,799.96
2025-10-22 13:38:55,167053.0,800.06
2025-10-22 13:38:56,167107.0,800.0
2025-10-22 13:38:57,167095.5,799.97
2025-10-22 13:38:58,167082.5,799.96
2025-10-22 13:38:59,167137.5,799.95
2025-10-22 13:39:01,167096.5,799.97
2025-10-22 13:39:02,167053.0,799.97
2025-10-22 13:39:03,167072.0,799.94
2025-10-22 13:39:04,167110.0,799.92
2025-10-22 13:39:05,167079.0,800.09
2025-10-22 13:39:06,167074.5,800.0
2025-10-22 13:39:08,167078.0,799.92
2025-10-22 13:39:09,167076.0,800.1
2025-10-22 13:39:10,167076.5,799.96
